<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.VKCO:TQBR,D,20210322,000000,1793.0000000,1799.2000000,1782.2000000,1794.2000000,379820
MOEX.VKCO:TQBR,D,20210323,000000,1790.6000000,1790.6000000,1742.4000000,1749.0000000,707190
MOEX.VKCO:TQBR,D,20210324,000000,1753.0000000,1763.8000000,1728.6000000,1741.2000000,398988
MOEX.VKCO:TQBR,D,20210325,000000,1745.2000000,1745.2000000,1700.2000000,1716.0000000,512575
MOEX.VKCO:TQBR,D,20210326,000000,1713.6000000,1741.4000000,1711.0000000,1732.0000000,431065
MOEX.VKCO:TQBR,D,20210329,000000,1733.8000000,1771.0000000,1731.2000000,1755.8000000,406811
MOEX.VKCO:TQBR,D,20210330,000000,1761.0000000,1789.8000000,1738.8000000,1750.0000000,511040
MOEX.VKCO:TQBR,D,20210331,000000,1750.8000000,1754.0000000,1714.4000000,1738.0000000,582620
MOEX.VKCO:TQBR,D,20210401,000000,1740.0000000,1759.6000000,1724.8000000,1751.8000000,402634
MOEX.VKCO:TQBR,D,20210402,000000,1760.0000000,1773.0000000,1750.2000000,1770.2000000,158859
MOEX.VKCO:TQBR,D,20210405,000000,1764.0000000,1800.0000000,1752.0000000,1790.2000000,254922
MOEX.VKCO:TQBR,D,20210406,000000,1788.0000000,1796.8000000,1745.6000000,1759.4000000,391742
MOEX.VKCO:TQBR,D,20210407,000000,1766.2000000,1771.0000000,1736.2000000,1748.0000000,344093
MOEX.VKCO:TQBR,D,20210408,000000,1748.0000000,1759.0000000,1731.4000000,1743.6000000,246472
MOEX.VKCO:TQBR,D,20210409,000000,1759.6000000,1759.6000000,1704.2000000,1717.2000000,472162
MOEX.VKCO:TQBR,D,20210412,000000,1719.8000000,1756.4000000,1714.6000000,1750.2000000,470006
MOEX.VKCO:TQBR,D,20210413,000000,1751.2000000,1799.0000000,1749.2000000,1787.2000000,511199
MOEX.VKCO:TQBR,D,20210414,000000,1785.0000000,1825.6000000,1757.6000000,1803.2000000,761943
MOEX.VKCO:TQBR,D,20210415,000000,1804.8000000,1805.0000000,1750.4000000,1765.0000000,644301
MOEX.VKCO:TQBR,D,20210416,000000,1769.0000000,1776.6000000,1740.2000000,1750.6000000,407929
MOEX.VKCO:TQBR,D,20210419,000000,1745.2000000,1755.2000000,1725.0000000,1739.0000000,329420
MOEX.VKCO:TQBR,D,20210420,000000,1743.2000000,1751.8000000,1701.4000000,1720.0000000,744202
MOEX.VKCO:TQBR,D,20210421,000000,1715.0000000,1721.6000000,1685.0000000,1695.0000000,803140
MOEX.VKCO:TQBR,D,20210422,000000,1698.0000000,1743.2000000,1692.6000000,1728.4000000,796544
MOEX.VKCO:TQBR,D,20210423,000000,1733.4000000,1746.0000000,1710.0000000,1735.2000000,347521
MOEX.VKCO:TQBR,D,20210426,000000,1739.4000000,1742.4000000,1721.4000000,1731.2000000,192524
MOEX.VKCO:TQBR,D,20210427,000000,1732.0000000,1748.0000000,1721.0000000,1722.2000000,259865
MOEX.VKCO:TQBR,D,20210428,000000,1728.8000000,1735.4000000,1703.0000000,1719.6000000,303975
MOEX.VKCO:TQBR,D,20210429,000000,1726.6000000,1738.8000000,1694.2000000,1707.0000000,492168
MOEX.VKCO:TQBR,D,20210430,000000,1709.6000000,1714.0000000,1674.4000000,1681.2000000,646024
MOEX.VKCO:TQBR,D,20210504,000000,1691.0000000,1695.0000000,1652.2000000,1662.8000000,529444
MOEX.VKCO:TQBR,D,20210505,000000,1666.0000000,1674.8000000,1656.0000000,1663.0000000,347153
MOEX.VKCO:TQBR,D,20210506,000000,1666.6000000,1666.8000000,1630.0000000,1642.6000000,619984
MOEX.VKCO:TQBR,D,20210507,000000,1647.0000000,1649.0000000,1621.8000000,1636.8000000,421577
MOEX.VKCO:TQBR,D,20210510,000000,1640.6000000,1641.2000000,1610.6000000,1613.0000000,308326
MOEX.VKCO:TQBR,D,20210511,000000,1616.0000000,1617.4000000,1567.6000000,1588.6000000,848005
MOEX.VKCO:TQBR,D,20210512,000000,1588.6000000,1594.8000000,1551.0000000,1553.0000000,645431
MOEX.VKCO:TQBR,D,20210513,000000,1553.0000000,1554.6000000,1502.8000000,1505.0000000,1036882
MOEX.VKCO:TQBR,D,20210514,000000,1511.2000000,1516.6000000,1465.8000000,1516.4000000,942160
MOEX.VKCO:TQBR,D,20210517,000000,1527.2000000,1532.8000000,1491.0000000,1516.8000000,710691
MOEX.VKCO:TQBR,D,20210518,000000,1520.8000000,1552.0000000,1509.0000000,1549.2000000,811947
MOEX.VKCO:TQBR,D,20210519,000000,1550.6000000,1554.2000000,1501.0000000,1517.0000000,526280
MOEX.VKCO:TQBR,D,20210520,000000,1518.0000000,1520.2000000,1500.2000000,1509.8000000,340911
MOEX.VKCO:TQBR,D,20210521,000000,1510.0000000,1546.0000000,1500.6000000,1530.6000000,422014
